,Dyad,Session,Time_begin,P1,P2,SD,QE,SV,PR,HD,a,sca,b,scb,c,scc,d,scd,e,sce
11180,4,1,00:36:17.300000,,and because no teacher is ever there we just play on our phones the entire time our school's administrative people,x,,,,,and because no teacher is ever there we just play on our phones the entire time,95, our school's administrative people,90.0,I had a homeroom teacher but I've only been there like two days,86.0,and I'm with a few other kids,86.0,because the other days I've been sitting outside a stairwell waiting to go up to a class at the high school,48.0
12951,5,2,00:13:31.100000,pause filler there's just a bunch of police cars over here,,,,x,,,pause filler there's just a bunch of police cars over here,95,he said we had these people in like full costumes in our pause filler in our cars,86.0,I'm afraid of sitting here now,86.0,but I decided to make a joke,86.0,that's what I said to my dad,86.0
11107,4,1,00:29:20.700000,,okay then pause filler I'll go find the people,,,x,,,I'll go find the people,95,okay then,90.0,because you can reduce it okay pause filler a hundred okay,86.0,subtract the fifty,86.0,that's it,50.0
10818,3,2,00:49:23.600000,you can just probably use a scroll button pause filler,,,,,,x,you can just probably use a scroll button pause filler,95,actually a way to scroll down,51.0,no that one,50.0,I'll just try and go with it,46.0,and next one,45.0
9364,3,1,00:03:16.300000,okay so pause filler so what's your name,,,x,,,,okay so pause filler so what's your name,95,okay so pause filler so what's your name,95.0, I can't view what room you're on all I can see is your yeah,86.0,yeah umm so I guess we're supposed to work through these problems,86.0,okay so umm,86.0
9372,3,1,00:03:27.800000,so pause filler do you know any algebra,,x,,,,,so uhh do you know any algebra,95,so uhh do you know any algebra,95.0,three plus yeah I think that one can you see everything on that page,86.0,yeah umm so I guess we're supposed to work through these problems,86.0,okay so umm,86.0
9374,3,1,00:03:31.500000,,I'm an algebra one this year,x,,,,,yeah I'm an algebra one this year,95,yeah I'm an algebra one this year,95.0,yeah I see all the like mint green scribble stuff,86.0,all right so just get rid of the scribbles I guess so that,86.0,yeah I see all the like mint green scribble stuff,86.0
9455,3,1,00:08:02.600000,this writing with this stuff is so weird,,,,x,,,I know this writing with this stuff is so weird,95,I know this writing with this stuff is so weird,95.0,no that is not it,86.0,okay so umm as we're doing equal so I wonder if I can circle all right here,86.0,so okay,86.0
9540,3,1,00:12:18.600000,,there's like the low math (inaudible) who don't like get as quickly,,,x,,,there's like the low math who don't like get as quickly,95,there's like the low math who don't like get as quickly,95.0,there isjust like the regular math,86.0,and then there's the advanced math,86.0,I'm in just like the regular math,86.0
9541,3,1,00:12:22.100000,,just like the regular math,,,x,,,I'm in just like the regular math,95,I'm in just like the regular math,95.0,there isjust like the regular math,87.0,there isjust like the regular math,87.0,it seems so embarrassing because it's just like we're so used to using calculators but it just,86.0
9547,3,1,00:12:34.600000,,but math it's all right I just,,,x,,,math it's all right I just,95,math it's all right I just,95.0,all right great,86.0,like I I'm not in like there's like three levels of math,86.0,there's like the low math who don't like get as quickly,86.0
9800,3,1,00:28:01.400000,,better eat all the gummy candy I can because I have to get braces,x,,,,,better eat all the gummy candy I can because,95,better eat all the gummy candy I can because,95.0,I have to get braces,90.0,I have to get braces,90.0,they are supposed to,86.0
9807,3,1,00:28:20.400000,so I have braces but since they're like so bad I need to get a second pair,,x,,,,,but since they're like so bad I need to get a second pair,95,but since they're like so bad I need to get a second pair,95.0,so I have braces,90.0,so I have braces,90.0,my teeth are like,86.0
9811,3,1,00:28:36.600000,it's like a long vacation actually,,,,,,x,it's like a long vacation actually so not too bad,95,it's like a long vacation actually so not too bad,95.0,my teeth are like,86.0,but since they're like so bad I need to get a second pair,86.0,I am on what they call on vacation for my teeth at the moment,86.0
9822,3,1,00:29:05.400000,we have weeklong yeah,,x,,,,,we have weeklong,95,we have weeklong,95.0,yeah,90.0,yeah,90.0,yeah,90.0
10098,3,1,00:48:09.000000,,all right great okay,,,,x,,all right great,95,all right great,95.0,okay,90.0,okay,90.0,okay great,86.0
10148,3,1,00:52:55.300000,okay oh come on okay,,,,x,,,no okay oh come on okay,95,no okay oh come on okay,95.0,okay umm no,86.0,okay six,86.0,okay g equals,86.0
10177,3,1,00:54:37.400000,,nice talking to you,,,,x,,bye Maya nice talking to you,95,bye Maya nice talking to you,95.0,all right,50.0,all right,50.0,umm you want to start off by,46.0
10203,3,2,00:02:36.300000,pause filler oh wow I think you realize I was coming up,,,,,,x,pause filler oh wow I think you realize I was coming up,95,what about you,86.0,I've had the entire week off,86.0,I hope that it works out,86.0,not much I don't think,86.0
10216,3,2,00:03:17.400000,,yeah but sometimes and like I want to sleep but I don't but I should (laughter),x,,,,,yeah but sometimes and like I want to sleep but I don't but I should (laughter),95,yeah so what are you doing for Easter,86.0,I don't know,86.0,and I'll go to church probably on that day,86.0,I'm tired (laughter),86.0
10238,3,2,00:04:31.300000,,I live in pause filler I live in Imperial,x,,,,,I live in pause filler I live in Imperial,95,oh yeah I have to wake up at seven o'clock also,86.0,yeah I agree,86.0,oh okay that's pretty far away then from my house I mean,86.0,I live like a few minutes away from the airport so,86.0
10278,3,2,00:06:15.300000,,but a couple of my friends are at Squirrel Hill and then pause filler,x,,,,,but a couple of my friends are at Squirrel Hill and then pause filler,95,and then it barely even snowed this winter,48.0,so I'm done,47.0,and I only got like two-hour delays probably,42.0,never mind (laughter),40.0
10285,3,2,00:06:48.700000,oh well I guess pause filler my mom works here,,x,,,,x,oh well I guess pause filler my mom works here,95,I don't think so,86.0,I have a question,86.0,it is like winter wasn't even here,46.0,yeah money is nice,40.0
10339,3,2,00:10:16.400000,so pause filler basically it's like multiplying normally except,,,,,,x,so pause filler basically it's like multiplying normally except,95,so that works,86.0,so you I guess you would want to write out forty if you're going to multiply that,86.0,so then pause filler if we're going to multiply it pause filler you're going to just write over here three over seven,86.0,because it would be okay,86.0
10402,3,2,00:14:42.200000,,add sixteen to both sides so then you I'm just going to flip this around so three,,,,,x,so then you I'm just going to flip this around so three ,95,add sixteen to both sides,90.0,so would it be x equals sixty-two then,86.0,but it's still the same so,86.0,actually I'm just going to go six over three equals,86.0
10412,3,2,00:15:25.600000,I guess before you do that you maybe you could simplify pause filler the sixty over three to like two,,,,,,x,I guess before you do that you maybe you could simplify pause filler the sixty over three to like two,95,that might help you,86.0,pause filler well one thing you could do let's see wait (inaudible),49.0,well not times two forty-seven would be eighty but mostly fourteen ninety-four because it wouldn't,46.0,it's not,30.0
10522,3,2,00:23:40.500000,,like I'm just going to go with that you know (laughter),,,,,x,I'm just going to go with that you know,95,all right so let's just start off by adding a two,49.0,all right let's move onto the next one,46.0,that is over over negative thirteen ,41.0,so this cancels out then,41.0
10634,3,2,00:33:29.100000,you don't really because you know pause filler this school it's like has a really good computer science and theater thing,,,,,,x,you don't really because you know pause filler this school it's like has a really good computer science and theater thing,95,somewhat but not really,86.0,you know I like computers,86.0,what about you,86.0,oh yeah yeah it's sort of weird because,86.0
10788,3,2,00:46:58.900000,yeah that's a beautiful x (laughter),,,,,x,,yeah that's a beautiful x (laughter),95,you did that one,86.0,it could be a zero equals a hundred three plus fifteen x,86.0,so then you know being negative nine yeah negative yeah twelve over x,86.0,and we got negative nine x equals a hundred and three,86.0
11002,4,1,00:20:29.600000,,okay pause filler do you have any idea where they are,,,x,,,do you have any idea where they are,95,okay then,86.0,okay,60.0,they're somewhere near where I am,55.0,then you add the sixty-eight to get,48.0
12965,5,2,00:14:18.400000,no it's just like Pittsburgh had like and that's what I'm doing in my pause filler like abridged Pittsburgh history,,,,x,,,no it's just like Pittsburgh had like and that's what I'm doing in my pause filler like abridged Pittsburgh history,95,they're like three in a row all right,86.0,but I decided to make a joke,86.0,because a lot of them were like wearing like short skirts,86.0,and I was like hey that's not eww that's wow,86.0
12944,5,2,00:13:00.900000,he said we had these people in like full costumes in our pause filler in our cars,,,,x,,,he said we had these people in like full costumes in our pause filler in our cars,95,you know how like it's basically yesterday,86.0,and we saw like all the weird people,86.0,and we were like I was like oh my goodness,86.0,and like what did the Uber driver,86.0
13225,5,2,00:32:29.400000,you know those are the kind you have the authority to insult almost but pause filler,,,,x,,,you know those are the kind you have the authority to insult almost but pause filler,95,you're just into it,86.0,and they are just like always into it,86.0,so you see what I'm saying,86.0,but weirdoes are the people that like basically you know the ones are sort of like you know like oh,53.0
15368,7,1,00:01:50.300000,pause filler not Spanish that's for sure,,x,,,,,pause filler not Spanish that's for sure,95,that's cool,86.0,so what's your worst subject do you think in school,86.0,mine's history,86.0,I'm turning thirteen pause filler on the thirtieth,44.0
15390,7,1,00:02:52.900000,,and I'm not going to like get it but (laughter) yeah,x,,,,x,and I'm not going to like get it but (laughter) yeah,95,he's like (sfx) yeah (sfx),86.0,and they want to start,86.0,mm-hmm yeah and there's like whiteboard all around here with like stuff all on it like that I don't understand,86.0,it's like what's for like it's actually it's for like (inaudible),86.0
15406,7,1,00:03:52.200000,,(laughter) I don't know why it's like there's like a dollhouse,,,,,x,(laughter) I don't know why it's like there's like a dollhouse,95,mm-hmm yeah and there's like whiteboard all around here with like stuff all on it like that I don't understand,86.0,oh really yeah that's like,86.0,yeah that seems like sort of like a laundry room because there's like kitchen and cabinet stuff and,86.0,yeah like a meeting room,86.0
15473,7,1,00:10:51.500000,so pause filler I guess I do seven no eleven,,,,,,x,so pause filler I guess I do seven no eleven,95,yeah I guess so,86.0,so now it's your turn,86.0,okay so,86.0,yeah so then it's pretty much that's twenty-eight,86.0
15504,7,1,00:12:40.700000,yeah pause filler well k isn't going anywhere because it's not a number necessarily so,,,,,,x,yeah pause filler well k isn't going anywhere because it's not a number necessarily so,95,okay so seventeen minus eleven,86.0,and k minus eleven,86.0,yeah it's hardly like what I'm doing,86.0,okay so then seventeen minus eleven would be six,86.0
15537,7,1,00:14:28.500000,,pause filler okay so I'll just do like eighty-eight which should be like,,,,,x,pause filler okay so I'll just do like eighty-eight which should be like,95,because then if you did that you'd figure out how many times it goes and there's pretty much a twenty in it so x,86.0,oh yeah yeah yeah okay so I'll do,86.0,okay and then two twenty okay,86.0,wait okay so I'll do okay let's try this again,56.0
15577,7,1,00:16:45.000000,,yeah yeah okay it's going to take forever to go back (laughter) just like,,,x,,,yeah yeah okay it's going to take forever to go back (laughter) just like,95,okay and then,86.0,or that clear though or just like,86.0,is that like going to erase everything,86.0,I don't see it,86.0
15642,7,1,00:19:55.600000,,I don't know (laughter) because like if that's because you have the paper right,,,x,,,I don't know (laughter) because like if that's because you have the paper right,95,erase that,86.0,I think we add nine,86.0,are you the one tutoring me right now,86.0,I think you tutor me for like half the time,86.0
15677,7,1,00:21:37.400000,I'm going to replace this because this makes no sense (sfx) (laughter),,,,x,,,I'm going to replace this because this makes no sense (sfx) (laughter),95,so I don't know how to do that,86.0,I forget,86.0,I have no idea,86.0,okay let's go back to the point,86.0
15678,7,1,00:21:45.700000,,you just erased the problem (laughter),,,x,,,you just erased the problem (laughter),95,you're like hello,86.0,there you go,86.0,just like undo it,86.0,so are we trying to so how do you get the negative nine to a nine a positive,86.0
15814,7,1,00:28:45.700000,,I wish they gave us Skittles at school (laughter),x,,,,,I wish they gave us Skittles at school (laughter),95,they hurt,86.0,does your orthodontist like when you got your braces did they have to put this like sour stuff on it like this glue soured (inaudible) thing because for me they have like stuff,86.0,oh my god,50.0,and I had to go to the orthodontist,47.0
15881,7,1,00:35:29.500000,,you're going to add you're going to like do the same thing except pause filler you're adding like y I think,,,,,x,you're going to add you're going to like do the same thing except pause filler you're adding like y I think,95,(laughter) yeah but you have to add three to both sides,86.0,I was like writing it to like okay,86.0,okay now on the next one,86.0,so add okay so pause filler,86.0
15904,7,1,00:37:37.900000,,and then this will just become twenty-three plus y equals eighteen oh (laughter) plus y equals eighteen,,,,,x,and then this will just become twenty-three plus y equals eighteen oh (laughter) plus y equals eighteen,95,all right so if you added y to both sides the ys,86.0,like because then if you add y to both sides,86.0,and I'll like yeah,86.0,then pause filler then this the y on this side will become just zero,65.0
15927,7,1,00:39:56.400000,I'm like explaining the problem now (laughter),,,,x,,,I'm like explaining the problem now (laughter),95,I'm still chewing,86.0,it's the problem up here,60.0,and then it's eighteen plus twenty-three,43.0,I think we only add y once,39.0
15954,7,1,00:41:49.800000,,because it's like a mess (laughter),,,x,,,because it's like a mess (laughter),95,all right negative yeah eighteen negative y what because like no y has to be positive,86.0,doesn't it,86.0,that's like start this thing fresh again,86.0,okay so let's try like what I see on the paper,86.0
15981,7,1,00:43:38.300000,,okay (laughter) so now we have that,,,x,,,okay (laughter) so now we have that,95,so no,90.0,so you would add y to each side of the equation,86.0,so now it's going to be eighteen because it equals twenty-three plus y,86.0,and then what do we do pause filler it's,86.0
16018,7,1,00:46:12.200000,,ops okay pause filler I just pressed actually pressing it,,,x,,x,ops okay pause filler I just pressed actually pressing it,95,I see that,86.0,oh I did it okay,86.0,it like makes really little lines though,40.0,really (laughter),40.0
16068,7,1,00:49:01.400000,,(laughter) you need to color the pen,,,x,,,(laughter) you need to color the pen,95,this is supposed to be black I think right,86.0,I think yeah because mine is supposed to be green because I'm like the tutor,86.0,all right so when we added k to each side,86.0,(laughter) if we added k to each side the left side of the equation would be fourteen negative fourteen because the other side cancels out because the ks cancel out,86.0
16230,7,2,00:06:27.200000,,okay I feel like I'm pause filler so I know what like to do,,,x,,,okay I feel like I'm pause filler so I know what like to do,95,because I know you have to do forty divided by three over seven but like,86.0,so you find the thing with like the matching thingy equation pause filler,86.0,okay negative or positive,86.0,but I don't know how to like do it,65.0
16290,7,2,00:09:42.800000,I pause filler multiplied forty over one which is pretty much forty pause filler,,,,,,x,I pause filler multiplied forty over one which is pretty much forty pause filler,95,this is like a division problem,86.0,so if I read it another way,86.0,I can write it one,86.0,so that's how I learned it so yeah,86.0
16298,7,2,00:10:14.800000,,okay I'm really bad at the eraser (laughter),,,x,,,okay I'm really bad at the eraser (laughter),95,okay do you want to like erase this to make more room,86.0,okay I'm black right,86.0,there we go okay okay,86.0,yeah here look at the equation in the cheat sheet again,86.0
16321,7,2,00:11:19.200000,one twenty (laughter) (inaudible) sorry,,,,,,x,one twenty (laughter) (inaudible) sorry,95,so I just do three over seven times that over four over one,86.0,so we were at one twenty,61.0,okay sorry (laughter),50.0,okay,45.0
16386,7,2,00:14:35.800000,,actually that's a terrible forty-two pause filler okay,,,,,x,actually that's a terrible forty-two pause filler okay,95,okay oh yeah yeah okay,86.0,forty-two over eight,86.0,that's a great forty-two,86.0,I think it's purple,86.0
16412,7,2,00:15:50.800000,it's right here sweetheart (laughter),,,,x,,,it's right here sweetheart (laughter),95,no you were in this room right with the poster with Peter,86.0,that's the answer,86.0,I did it again,86.0,nothing is right byk,49.0
16530,7,2,00:22:49.300000,,you have a big question mark (laughter),,,x,,,you have a big question mark (laughter),95,you add eighteen,86.0,mm-hmm because then you cancel out eighteen on this side,86.0,and then since you added eighteen to the negative eighteen,86.0,so you got that,86.0
16538,7,2,00:23:13.000000,okay do you want the next pause filler thing,,,,,,x,okay do you want the next pause filler thing,95,okay so then you have to take the excuse me pause filler to the fraction,86.0,but I know what to do next,53.0,so did you add eighteen to both sides,52.0,yes but that's not all the answers though,49.0
16585,7,2,00:25:42.300000,,pause filler that's a really bad zero a hundred,,,x,,,pause filler that's a really bad zero a hundred,95,well okay divide it by two that is a hundred and five,86.0,because then you'll cancel out the thirteen on that side,86.0,a hundred and five equals y all right,58.0,yup I'll just write a hundred and five,51.0
13191,5,2,00:30:09.200000,PS Vita how old are you (laughter),,,,x,,,PS Vita how old are you (laughter),95,you are,86.0,and you know what's good,52.0,what are you getting,49.0,what's the first game you got,48.0
15347,7,1,00:00:50.400000,,and I'm probably going to fail it (laughter) because like I am not good at algebra,x,,,,x,and I'm probably going to fail it (laughter) because like I am not good at algebra,95,yeah where do you go to school,86.0,I go to CAPA yeah,86.0,do you like algebra,86.0,I hate it,86.0
15357,7,1,00:01:21.100000,I'm turning thirteen pause filler on the thirtieth,,x,,,,,I'm turning thirteen pause filler on the thirtieth,95,uh-uh,51.0,that's cool,50.0,mine's history,45.0,so what's your worst subject do you think in school,39.0
1559,10,2,00:41:15.300000,no I don't want the settings (laughter),,,,x,,,no I don't want the settings (laughter),95,I do it mentally,86.0,that is the worst fifty-four I've ever oh my god oh right oh (laughter),86.0,we then shift,56.0,so it's all right got to go,44.0
15291,6,2,00:55:46.600000,Winchester seems like oh we want you to be adored,,,,x,,,but like Winches.. Winchester seems like oh we want you to be adored,95,that would be nice,86.0,so there you go,86.0,so you didn't like it or you did,86.0,"I think, I think it's like, I think it's a better fit for me cause of the atmos.. like",86.0
13398,5,2,00:43:55.300000,yeah pause filler either they call me JJ,,,,x,,,yeah pause filler either they call me JJ,95,yeah,90.0,or they call me pause filler Giordoni my pause filler Latin name,86.0,all right,57.0,and it's getting really really really annoying,41.0
14584,6,2,00:04:11.500000,well look what I've done,,,,x,,,look what I've done,95,well ,90.0,I honestly just like want to go home and sleep,86.0,but I don't think we're getting paid,86.0,what are we going to do,57.0
13388,5,2,00:42:55.300000,basically pause filler he's always talking about like,,,,x,,x,basically pause filler he's always talking about like,95,and he's sort of my friend,86.0,but he's really not,86.0,and basically yeah I'm the kid who could be making friends with pretty much anyone,86.0,you know like the weird like Dang Daniel meme that was came around,86.0
14620,6,2,00:06:56.100000,,they're coming back I think,,,x,,,They're coming back,95,am I teaching her,86.0,or she's teaching me,45.0,,0.0,,0.0
14699,6,2,00:13:58.000000,,pause filler we're doing like factoring polynomials or something,x,,,,x,pause filler we're doing like factoring polynomials or something,95,they're recording like the whole audio,51.0,well you add eighty-three to seventeen,38.0,lets just show our work here cuz we get a hundred (sfx),35.0,they are,34.0
1555,10,2,00:40:48.300000,that is the worst fifty-four I've ever oh my god oh right oh (laughter),,,,x,,,that is the worst fifty-four I've ever oh my god oh right oh (laughter),95,I do it on my mind,86.0,I do it mentally,86.0,yeah so we get rid of fifty-four first,86.0,so it's all right got to go,86.0
14202,6,1,00:32:30.500000,oh thatÀ_s so like I want to have a really nice teacher and all,,x,,,,,oh so like and I have a really nice teacher and all,95,I think this is the only one,86.0,blue ones aren't that gross,86.0,I don�t feel like doing algebra,86.0,but it's kind of like tedious,86.0
15049,6,2,00:43:36.200000,,okay like I say give us twenty-five minutes to do pause filler,,,x,,,okay like I say give us twenty-five minutes to do pause filler,95,at five thirty-two,86.0,okay so wait,86.0,okay what you do,86.0,you just drive twenty,86.0
15210,6,2,00:52:19.100000,,but it's like a nice place I guess pause filler,,,x,,,but it's like a nice place I guess pause filler,95,I think like the first year of Winchester because now I was looking there for high school,86.0,or maybe it's biology,86.0,I'm not sure,86.0,I was considering,86.0
13387,5,2,00:42:51.100000,and I have logical reasoning to know that that meme is awful pause filler,,,,x,,,and I have logical reasoning to know that that meme is awful pause filler,95,so basically his name is Daniel,86.0,and he's sort of my friend,86.0,so I'm also that kid so pause filler,86.0,pause filler how one kid who just talked about a kid's white shoes just pause filler who create a meme somehow,86.0
15262,6,2,00:54:41.800000,,there's no such thing as detention (laughter) so,,,x,,,there's no such thing as detention (laughter) so,95,it's like no uniform,86.0,that sucks,51.0,the school I go to now Folk,49.0,that is kind of strict,45.0
13386,5,2,00:42:47.100000,pause filler well since I'm in not any fan base,,,,x,,,pause filler well since I'm in not any fan base,95,but he's really not,86.0,and basically yeah I'm the kid who could be making friends with pretty much anyone,86.0,and I have logical reasoning to know that that meme is awful pause filler,86.0,and he is easily the most annoying kid ever,45.0
13369,5,2,00:41:39.800000,,pause filler I bought a PS Vita and a couple of games,,,x,,,pause filler I bought a PS Vita and a couple of games,95,and I do not want to pay them eighty dollars,47.0,you're on eBay,45.0,and you use too much money just to get one thing,45.0,it looks really easy to get out of,43.0
13313,5,2,00:39:06.200000,,pause filler we have a kid who's too jolly,,,x,,,pause filler we have a kid who's too jolly,95,way too jolly,86.0,yeah,45.0,how,40.0,wait your thing just zoomed in,37.0
15112,6,2,00:47:34.900000,,I feel kind of bad (laughter) (inaudible),,,x,,,I feel kind of bad (laughter) (inaudible),95,like I can't just not doodle,45.0,and we have like little pens,44.0,do you know what time it is,39.0,oh well oh well let's just let's just forget about that one,36.0
14199,6,1,00:32:25.100000,,pause filler are you an algebra right now like algebra one,,x,,,,pause filler are you an algebra right now like algebra one,95,now we're doing other stuff,86.0,why not,51.0,but you said you didn't like Shadyside or something,49.0,or is there another session like after this,48.0
9595,3,1,00:15:12.100000,I'd say that no you can't simplify,,,,,,x,I'd say that no you can't simplify it,96,I'd say that no you can't simplify it,96.0,it maybe maybe not,45.0,it maybe maybe not,45.0,let's see where were we sixty-two divisible by three nope,38.0
16684,7,2,00:34:01.400000,,no I was just like going through them like,,,x,,x,I was just like going through them like,96,so like I know (laughter),86.0,I have a lot of blue,86.0,like shake them,86.0,shake them,86.0
11194,4,1,00:37:17.300000,thank you that's my class every single period of every single day that,,x,,,,,thank you that is my class every single period of every single day,96,my one friend at she goes to Hampton,86.0,and they were in the reading or something like that some sort of library or whatever and the teacher had turned around (laughs) and this kid had his camera on (laughter),86.0,she said there was this one kid,44.0,and she started yelling at everybody,43.0
10095,3,1,00:47:50.600000,,yeah because remember just regular sixteen divided by four equals four so,,,,,x,because remember just regular sixteen divided by four equals four so,96,because remember just regular sixteen divided by four equals four so,96.0,yeah,60.0,yeah,60.0,all right great,40.0
12260,5,1,00:27:28.700000,like I could just like draw something really good on this side,,x,,,,x,like I could just like draw something really good on this I bet,96,all right that was okay I mean oh,86.0,but I am really good at using it,86.0,so I guess that's why they use this so,86.0,like concept art,86.0
14587,6,2,00:04:20.400000,,so I can't really like see anything,,,x,,,I can't really like see anything ,96,so ,60.0,yeah they don't really trust us,49.0,they even exxed out the like problem things,49.0,I don't have a mouse either,46.0
11380,4,2,00:11:53.100000,,thatÀ_s good,,,,x,,that's good,96,yeah,22.0,,0.0,,0.0,,0.0
11367,4,2,00:10:29.100000,,thatÀ_s good,,,,x,,that's good,96,yeah,22.0,,0.0,,0.0,,0.0
15286,6,2,00:55:38.300000,you know how Shadyside have like really preppy atmosphere like,,,,x,,,you know how Shadyside's like really preppy atmosphere like,96,so then I'd have another friend,86.0,I only know one person going who I like,86.0,"so, no, two people going who I like",86.0,so there you go,86.0
14456,6,1,00:50:14.500000,and then you just get twelve forty-first equals one op,,,,,,x,and then you just get twelve forty-first equals one,97,there's plenty of other totally dorky fandoms I'm in but Harry Potter happens to not be one of them,86.0,forty-two forty-one yup forty-one y plus thirty-seven minus thirty-seven y you add the thirty-seven just to subtract it,86.0,so that would be twelve equals forty-one y,67.0,so then you would get two hundred and six minus thirty-three z,57.0
15275,6,2,00:55:15.800000,so no two people going who I like,,,,x,,,"so, no, two people going who I like",97,I would get yelled at,86.0,like I'm shocked that Winchester accepted me because I've gotten so many points,86.0,but I got points which kind of lead up to detention,86.0,and I'm also bad and I get really bad grades so I don't understand how they will accept me,86.0
9866,3,1,00:31:37.900000,,like pause filler I usually just go to like a regular beach like Myrtle beach or somewhere of the year but,x,,,,x,I usually just go to like a regular beach like Myrtle beach or somewhere of the year but,97,I usually just go to like a regular beach like Myrtle beach or somewhere of the year but,97.0,I've never been there,86.0,I'm going to umm,86.0,I went to Tennessee one year,86.0
14197,6,1,00:32:13.500000,I donÀ_t feel like doing algebra,,x,,,,x,I don�t feel like doing algebra,98,I'd be hopeful to have this type of thing I presume,86.0,but then shouldn't it be people who have already taken algebra tutoring people who are taking algebra,86.0,but for the packet that they gave us at the beginning I felt like I was doing my math homework,86.0,oh so like and I have a really nice teacher and all,86.0
14157,6,1,00:29:07.200000,I donÀ_t even like Skittles,,x,,,,,I don�t even like Skittles,98,but I'm going to eat them because i'm really hungry,86.0,(inaudible) I ate lunch at ike eleven forty-five,86.0,eww it tastes like not like gross I don�t know when you're like five,86.0,did you get Skittles too,55.0
13750,6,1,00:00:55.400000,,yeah thatÀ_s why I'm doing it,x,,,,,yeah that�s why I'm doing it,98,yeah,90.0,yeah,90.0,pause filler I think I like met you at that like TechNights thing or something,86.0,I remember you were wearing like the (inaudible) hat or something I don't know,86.0
11408,4,2,00:13:44.000000,,thatÀ_s I think that was good,,,,x,,that's I think that was good,98,And then over five,38.0,pause filler I see it,36.0,negative,34.0,pause filler,30.0
14235,6,1,00:34:23.400000,thatÀ_s creeping me out a little,,x,,,,,that�s creeping me out a little,98,and math is annoying so we should get paid a lot of money,86.0,and that�s creepy but you know,55.0,that would be like amazing,52.0,it was going (inaudible),47.0
